,1,2,3,4,5,6,7,8,9,10
1,1390,695,463,347,278,231,198,173,154,139
2,695,347,231,173,139,115,99,86,77,69.5
3,463,231,154,115,92,77,66,57,51,46.33333333
4,347,173,115,86,69,57,49,43,38,34.75
5,278,139,92,69,55,46,39,34,30,27.8
6,231,115,77,57,46,38,33,28,25,23.16666667
7,198,99,66,49,39,33,28,24,22,19.85714286
8,173,86,57,43,34,28,24,21,19,17.375
9,154,77,51,38,30,25,22,19,17,15.44444444
10,139,69,46,34,27,23,19,17,15,13.9
11,126,63,42,31,25,21,18,15,14,12.63636364
12,115,57,38,28,23,19,16,14,12,11.58333333
13,106,53,35,26,21,17,15,13,11,10.69230769
14,99,49,33,24,19,16,14,12,11,9.928571429
15,92,46,30,23,18,15,13,11,10,9.266666667
16,86,43,28,21,17,14,12,10,9,8.6875
17,81,40,27,20,16,13,11,10,9,8.176470588
18,77,38,25,19,15,12,11,9,8,7.722222222
19,73,36,24,18,14,12,10,9,8,7.315789474
20,69,34,23,17,13,11,9,8,7,6.95
21,66,33,22,16,13,11,9,8,7,6.619047619
22,63,31,21,15,12,10,9,7,7,6.318181818
23,60,30,20,15,12,10,8,7,6,6.043478261
24,57,28,19,14,11,9,8,7,6,5.791666667
25,55,27,18,13,11,9,7,6,6,5.56
26,53,26,17,13,10,8,7,6,5,5.346153846
27,51,25,17,12,10,8,7,6,5,5.148148148
28,49,24,16,12,9,8,7,6,5,4.964285714
29,47,23,15,11,9,7,6,5,5,4.793103448
30,46,23,15,11,9,7,6,5,5,4.633333333
31,44,22,14,11,8,7,6,5,4,4.483870968
32,43,21,14,10,8,7,6,5,4,4.34375
33,42,21,14,10,8,7,6,5,4,4.212121212
34,40,20,13,10,8,6,5,5,4,4.088235294
35,39,19,13,9,7,6,5,4,4,3.971428571
36,38,19,12,9,7,6,5,4,4,3.861111111
37,37,18,12,9,7,6,5,4,4,3.756756757
38,36,18,12,9,7,6,5,4,4,3.657894737
39,35,17,11,8,7,5,5,4,3,3.564102564
40,34,17,11,8,6,5,4,4,3,3.475
41,33,16,11,8,6,5,4,4,3,3.390243902
42,33,16,11,8,6,5,4,4,3,3.30952381
43,32,16,10,8,6,5,4,4,3,3.23255814
44,31,15,10,7,6,5,4,3,3,3.159090909
45,30,15,10,7,6,5,4,3,3,3.088888889
46,30,15,10,7,6,5,4,3,3,3.02173913
47,29,14,9,7,5,4,4,3,3,2.957446809
48,28,14,9,7,5,4,4,3,3,2.895833333
49,28,14,9,7,5,4,4,3,3,2.836734694
50,27,13,9,6,5,4,3,3,3,2.78
51,27,13,9,6,5,4,3,3,3,2.725490196
52,26,13,8,6,5,4,3,3,2,2.673076923
53,26,13,8,6,5,4,3,3,2,2.622641509
54,25,12,8,6,5,4,3,3,2,2.574074074
55,25,12,8,6,5,4,3,3,2,2.527272727
56,24,12,8,6,4,4,3,3,2,2.482142857
57,24,12,8,6,4,4,3,3,2,2.438596491
58,23,11,7,5,4,3,3,2,2,2.396551724
59,23,11,7,5,4,3,3,2,2,2.355932203
60,23,11,7,5,4,3,3,2,2,2.316666667
61,22,11,7,5,4,3,3,2,2,2.278688525
62,22,11,7,5,4,3,3,2,2,2.241935484
63,22,11,7,5,4,3,3,2,2,2.206349206
64,21,10,7,5,4,3,3,2,2,2.171875
65,21,10,7,5,4,3,3,2,2,2.138461538
66,21,10,7,5,4,3,3,2,2,2.106060606
67,20,10,6,5,4,3,2,2,2,2.074626866
68,20,10,6,5,4,3,2,2,2,2.044117647
69,20,10,6,5,4,3,2,2,2,2.014492754
70,19,9,6,4,3,3,2,2,2,1.985714286
71,19,9,6,4,3,3,2,2,2,1.957746479
72,19,9,6,4,3,3,2,2,2,1.930555556
73,19,9,6,4,3,3,2,2,2,1.904109589
74,18,9,6,4,3,3,2,2,2,1.878378378
75,18,9,6,4,3,3,2,2,2,1.853333333
76,18,9,6,4,3,3,2,2,2,1.828947368
77,18,9,6,4,3,3,2,2,2,1.805194805
78,17,8,5,4,3,2,2,2,1,1.782051282
79,17,8,5,4,3,2,2,2,1,1.759493671
80,17,8,5,4,3,2,2,2,1,1.7375
81,17,8,5,4,3,2,2,2,1,1.716049383
82,16,8,5,4,3,2,2,2,1,1.695121951
83,16,8,5,4,3,2,2,2,1,1.674698795
84,16,8,5,4,3,2,2,2,1,1.654761905
85,16,8,5,4,3,2,2,2,1,1.635294118
86,16,8,5,4,3,2,2,2,1,1.61627907
87,15,7,5,3,3,2,2,1,1,1.597701149
88,15,7,5,3,3,2,2,1,1,1.579545455
89,15,7,5,3,3,2,2,1,1,1.561797753
90,15,7,5,3,3,2,2,1,1,1.544444444
91,15,7,5,3,3,2,2,1,1,1.527472527
92,15,7,5,3,3,2,2,1,1,1.510869565
93,14,7,4,3,2,2,2,1,1,1.494623656
94,14,7,4,3,2,2,2,1,1,1.478723404
95,14,7,4,3,2,2,2,1,1,1.463157895
96,14,7,4,3,2,2,2,1,1,1.447916667
97,14,7,4,3,2,2,2,1,1,1.432989691
98,14,7,4,3,2,2,2,1,1,1.418367347
99,14,7,4,3,2,2,2,1,1,1.404040404
100,13.9,6.95,4.633333333,3.475,2.78,2.316666667,1.985714286,1.7375,1.544444444,1.39
